photo,date,gender,v_labels,n_labels,hashtags,brands,top_color,top_category,top_pattern,bottom_color,bottom_category,bottom_pattern,top_url,bottom_url
20170324102428957_500.jpg,2017/3/26,F,"Floral, White, Blue, Dress, Pumps, Bag","White, Dress","ホワイト,  花柄,  フリル,  大人カジュアル,  オフショル,  春コーデ,  花柄ワンピース,  クリア,  clear,  オトナ女子",clear,,,,,,,,
20191101215856767_500.jpg,2019/11/1,F,"Floral, Gray, White, Dress, Sneakers, Bag","White, Blue, Dress","森林系,  古着,  洋裝","VINTAGE, UNIQLO",,,,,,,,
20180728104316845_500.jpg,2018/7/28,M,"Solid, Black, Pink, Shirt, Pants, Sandals","Black, Pink, Shirt, Pants, Sandals","GU,  シャツスタイル,  スラックス,  サンダル,  RAGEBLUE,  おしゃれさんと繋がりたい,  夏コーデ","RAGEBLUE, GU",,,,,,,,
20170328102139774_500.jpg,2017/3/28,F,"Striped, Black, White, Brown, Blue, T-Shirt, Jacket, Jeans, Shoes","Brown, Blue, Top, Jacket, Shoes",nan,"Levi's, LOWRYS FARM, Dr.Martens",,,,,,,,
20170324163043228_500.jpg,2017/3/27,F,"Solid, Black, White, Red, Blue, Top, Jeans, Sneakers, Bag","Red, Blue, T-Shirt, Jeans","スニーカー,  カジュアル,  converse,  赤,  大人カジュアル,  休日スタイル,  デニムパンツ,  春コーデ,  低身長,  オトナ女子","GLOBAL WORK, PAGEBOY",,,,,,,,
20190322154746816_500.jpg,2019/3/22,F,"Striped, Black, Blue, Yellow, Top, Skirt, Pumps","Yellow, Top, Skirt","ニット,  イエロー,  ストライプ,  デニムスカート,  大人カジュアル,  ダンガリー,  爽やかコーデ,  ミモレ丈スカート,  shopDADA,  ショップダダ",shopDADA,,,,,,,,
20190323225100207_500.jpg,2019/3/23,F,"Solid, White, Pink, Red, Jacket, Skirt, Pumps","Pink, Red, Top, Coat, Skirt, Pumps","カラー×カラー,  春コーデ,  大人カジュアル,  赤,  pink,  バレエシューズ×ソックス,  プリーツスカート,  コーチジャケット,  Ray BEAMS,  春色","La Tenace, BEAMS BOY, Ray BEAMS",,,,,,,,
20170324171645485_500.jpg,2017/3/24,F,"Solid, Beige, Pink, Blue, Top, Dress, Shoes","Pink, Blue, Top, Dress",nan,LODISPOTTO,,,,,,,,
20180330112404444_500.jpg,2018/3/31,F,"Solid, Black, White, Green, Blue, Top, Dress, Jeans, Sneakers, Bag","Black, Green, Blue, Dress, Jeans, Bag","デニム,  シンプル,  ブラック,  黒,  大人カジュアル,  ワイドパンツ,  デニムパンツ,  春,  春コーデ,  シースルー","MERCURYDUO, MOUSSY, Shelly island",,,,,,,,
20181020115613843_500.jpg,2018/10/20,F,"Floral, Gray, White, Brown, Sweatshirt, Skirt, Sneakers, Bag","Black, Gray, White, Green, Yellow, Sweatshirt, Skirt, Sneakers, Bag","秋のコーデ,  シンプル,  ラフ,  花柄,  ロングスカート,  パーカー,  コンバース,  スニーカー,  オシャレパッソ,  PASSO","FORK&SPOON, CONVERSE TOKYO, TODAYFUL, CONVERSE",,,,,,,,
